Population Size,Mutation Rate,Crossover Rate,Crossover Type,Mutation Type,Fitness,Average Fitness,Time
500,0.05,0.7,OX,insertion,-629.8310896890437,-634.719020236596,3.642000198364258
1000,0.2,0.7,OX,swap,-622.882525313769,-651.1571769536106,7.894906520843506
1000,0.1,0.8,PMX,swap,-600.0657400054396,-613.8627981200975,18.08932900428772
500,0.05,0.8,PMX,scramble,-672.4433384852141,-688.9607747290553,10.668307781219482
1000,0.1,0.7,CX,insertion,-574.0814024627398,-582.5209213219249,6.923993110656738
1000,0.2,0.8,CX,scramble,-835.4417203943472,-894.4611868064699,7.490492343902588
500,0.1,0.9,CX,inversion,-595.3126320668764,-601.7285140729845,3.4695348739624023
100,0.2,0.8,PMX,scramble,-814.1644238095823,-882.1992832186338,1.6809237003326416
1000,0.05,0.9,OX,inversion,-586.6379774343009,-590.0359494366382,8.723981618881226
500,0.05,0.8,PMX,scramble,-666.0838614999908,-682.7937173157685,9.095694065093994
100,0.2,0.7,CX,scramble,-787.5006848173989,-872.3294260737509,0.6958277225494385
500,0.2,0.9,PMX,swap,-592.0567892016754,-620.7231004571811,9.684771299362183
100,0.2,0.8,PMX,swap,-635.549645448579,-663.2025065013773,2.5445518493652344
100,0.05,0.9,OX,swap,-724.2704485325937,-728.0670699668342,0.7177436351776123
1000,0.1,0.9,OX,scramble,-595.0743379460627,-627.8370729915963,8.34954023361206
100,0.2,0.8,OX,swap,-696.1241073545438,-725.2718814729967,0.7119650840759277
500,0.2,0.9,OX,swap,-644.6595202202055,-669.8112852062822,4.25022292137146
500,0.2,0.9,CX,scramble,-709.6499822642273,-772.655435091744,3.792721748352051
1000,0.1,0.8,CX,swap,-739.515782306629,-751.0299881439338,6.830402851104736
1000,0.2,0.9,CX,insertion,-629.7033543745764,-645.7689970152306,7.809768199920654
500,0.2,0.8,OX,swap,-661.9174429109104,-686.7804805436323,3.982572555541992
1000,0.2,0.7,OX,swap,-691.5858753008412,-723.2075194023805,8.687695741653442
100,0.2,0.7,CX,scramble,-929.395933548575,-976.2207229570755,0.6352882385253906
500,0.1,0.8,OX,swap,-697.4205116461073,-710.9651452961606,3.8121376037597656
1000,0.1,0.9,PMX,insertion,-601.5415474842093,-608.8420022693427,22.282949924468994
1000,0.1,0.9,PMX,insertion,-619.102012951512,-626.754350833042,24.51942801475525
1000,0.1,0.9,CX,swap,-710.8421540145454,-722.9055540203764,7.454793930053711
500,0.1,0.7,PMX,inversion,-576.5594941713399,-585.2242937470132,8.863637208938599
1000,0.05,0.8,OX,scramble,-660.4197121145667,-675.7028007621044,8.624370098114014
1000,0.1,0.9,CX,inversion,-581.8110880212968,-588.2804805261026,8.019136190414429
1000,0.1,0.8,PMX,swap,-614.377675361563,-626.57464696082,19.435722589492798
1000,0.05,0.7,CX,insertion,-645.9713461787976,-656.5184169636732,10.758289813995361
1000,0.1,0.7,PMX,swap,-682.5231665755729,-696.0974828158487,17.796636819839478
100,0.2,0.8,PMX,swap,-695.132892764374,-719.694924637717,2.0757057666778564
1000,0.1,0.7,PMX,inversion,-574.5022234590441,-582.4554320651597,18.50856304168701
100,0.1,0.7,OX,scramble,-762.5430669725577,-797.5116809497288,0.7051894664764404
500,0.2,0.7,CX,swap,-658.204153262221,-684.3475819702743,3.581010580062866
500,0.05,0.7,OX,scramble,-781.3933640975144,-799.4681231207577,3.736677408218384
500,0.1,0.8,OX,inversion,-594.0915251457551,-600.5424505910682,3.6174089908599854
500,0.2,0.7,PMX,insertion,-565.68988017463,-584.3158898130845,9.161048650741577
1000,0.2,0.7,CX,scramble,-756.0728960373498,-814.9663540306755,7.608316898345947
